2022-05-02 18:01:45,197 - dash_client.py:506 - INFO - Downloading MPD file http://server/media/BigBuckBunny/4sec/BigBuckBunny_4s.mpd
390,902577.196454,577751.0
393,872737.667936,577751.0
397,851192.944093,577751.0
403,986715.920787,782553.0
405,981217.193504,782553.0
409,937579.23833,577751.0
412,901084.655583,577751.0
417,1026626.67945,782553.0
420,1080590.91906,782553.0
426,1173334.36076,782553.0
428,1213706.77694,1008699.0
435,1277255.01629,1008699.0
439,1198508.80059,782553.0
443,1111342.80194,782553.0
447,1041831.36929,782553.0
451,987257.818179,782553.0
454,941020.217833,782553.0
458,904819.231902,577751.0
461,876555.220937,577751.0
465,855018.965499,577751.0
471,992522.547904,782553.0
475,957768.882082,782553.0
479,918198.599152,577751.0
483,884826.999853,577751.0
486,860181.246586,577751.0
490,843323.528451,577751.0
493,827993.312551,577751.0
497,812222.832739,577751.0
502,956777.705134,782553.0
506,931220.049019,577751.0
510,896225.046684,577751.0
514,870284.577315,577751.0
